filename,class,label,x,y,angle,w,h
001.png,2,1,410.0,136.0,0.61,63.52,10.68
002.png,2,1,407.0,102.0,0.31,63.61,20.38
003.png,2,1,347.0,159.0,0.7,71.56,11.96
004.png,2,1,217.0,441.0,0.14,70.92,14.42
005.png,2,1,206.0,211.0,-0.37,51.43,13.67
006.png,2,1,362.0,296.0,-0.49,31.09,13.48
007.png,2,1,325.0,268.0,-0.75,99.22,32.4
008.png,2,1,383.0,203.0,-0.53,59.9,9.62
009.png,2,1,109.0,287.0,0.38,42.87,18.54
010.png,2,1,229.0,396.0,-0.63,50.41,9.31
011.png,2,1,382.0,137.0,0.64,22.99,8.34
012.png,2,1,343.0,228.0,-0.25,54.15,15.25
013.png,2,1,105.0,347.0,0.47,69.97,10.41
014.png,2,1,295.0,102.0,0.01,54.26,9.67
015.png,2,1,232.0,306.0,-0.35,33.43,17.73
016.png,2,1,397.0,396.0,0.41,27.98,10.77
017.png,2,1,151.0,142.0,0.24,27.63,11.79
018.png,2,1,215.0,324.0,0.52,31.64,12.82
019.png,2,1,241.0,424.0,-0.49,63.61,9.1
020.png,2,1,239.0,146.0,0.05,61.4,11.31
021.png,2,1,415.0,400.0,-0.54,60.19,11.24
022.png,2,1,224.0,420.0,-0.68,46.1,11.55
023.png,2,1,256.0,222.0,0.14,49.82,10.14
024.png,2,1,223.0,138.0,0.18,66.7,23.8
025.png,2,1,358.0,140.0,0.06,72.24,11.15
026.png,2,1,178.0,133.0,-0.66,55.31,9.39
027.png,2,1,103.0,338.0,0.11,67.71,18.6
028.png,2,1,182.0,419.0,0.24,75.48,14.71
029.png,2,1,206.0,88.0,-0.35,48.78,12.53
030.png,2,1,222.0,228.0,0.76,22.89,9.27
031.png,2,1,238.0,94.0,0.44,76.77,11.51
032.png,2,1,374.0,285.0,0.16,61.85,20.71
033.png,2,1,248.0,295.0,-0.44,28.34,12.08
034.png,2,1,116.0,199.0,-0.25,70.25,9.85
035.png,2,1,285.0,109.0,0.29,69.6,9.53
036.png,2,1,128.0,345.0,0.32,69.02,11.1
037.png,2,1,288.0,135.0,-0.34,59.33,13.74
038.png,2,1,437.0,270.0,0.45,28.11,15.34
039.png,2,1,103.0,328.0,-0.31,71.81,11.52
040.png,2,1,120.0,407.0,0.47,46.06,20.83
041.png,2,1,146.0,213.0,0.77,76.78,51.46
042.png,2,1,400.0,93.0,0.5,48.86,10.96
043.png,2,1,187.0,420.0,0.48,66.31,15.22
044.png,2,1,296.0,111.0,0.58,61.3,10.61
045.png,2,1,189.0,356.0,-0.39,65.04,13.16
046.png,2,1,320.0,94.0,-0.37,75.5,23.56
047.png,2,1,267.0,156.0,-0.34,23.29,10.14
048.png,2,1,99.0,338.0,-0.6,30.61,15.16
049.png,2,1,282.0,198.0,-0.42,26.11,8.35
050.png,2,1,391.0,245.0,-0.72,61.32,13.97
051.png,2,1,402.0,426.0,-0.21,76.03,20.07
052.png,2,1,119.0,418.0,0.78,62.17,12.94
053.png,2,1,192.0,182.0,-0.36,52.47,13.68
054.png,2,1,166.0,156.0,0.32,68.6,24.87
055.png,2,1,395.0,337.0,-0.71,50.24,12.5
056.png,2,1,300.0,353.0,0.71,60.65,31.39
057.png,2,1,86.0,228.0,0.29,47.9,16.78
058.png,2,1,222.0,247.0,-0.21,68.74,20.8
059.png,2,1,224.0,155.0,-0.62,65.44,11.96
060.png,2,1,323.0,228.0,-0.77,49.06,11.73
061.png,2,1,321.0,439.0,0.22,24.88,9.9
062.png,2,1,301.0,244.0,0.12,23.0,12.13
063.png,2,1,257.0,276.0,0.14,68.9,13.79
064.png,2,1,253.0,162.0,0.73,36.54,19.97
065.png,2,1,98.0,393.0,-0.67,70.0,14.8
066.png,2,1,212.0,324.0,0.15,48.09,9.89
067.png,2,1,250.0,305.0,-0.33,33.37,14.77
068.png,2,1,190.0,270.0,0.2,67.26,13.18
069.png,2,1,114.0,280.0,-0.68,69.98,10.29
070.png,2,1,277.0,198.0,-0.39,65.85,27.63
071.png,2,1,100.0,431.0,0.38,68.87,16.79
072.png,2,1,107.0,406.0,0.7,70.78,10.48
073.png,2,1,296.0,137.0,-0.41,64.77,7.54
074.png,2,1,303.0,295.0,0.07,58.4,11.29
075.png,2,1,159.0,226.0,-0.46,23.96,8.57
076.png,2,1,375.0,371.0,-0.7,66.17,9.13
077.png,2,1,308.0,139.0,-0.39,45.68,18.2
078.png,2,1,151.0,399.0,0.12,30.06,11.97
079.png,2,1,259.0,248.0,0.57,70.4,21.77
080.png,2,1,352.0,280.0,0.35,61.13,12.8
081.png,2,1,92.0,103.0,0.15,72.03,24.28
082.png,2,1,230.0,176.0,0.4,73.56,9.57
083.png,2,1,90.0,424.0,-0.34,28.43,9.96
084.png,2,1,422.0,247.0,0.7,72.2,4.83
085.png,2,1,320.0,315.0,-0.38,77.74,17.66
086.png,2,1,226.0,137.0,0.5,62.78,29.8
087.png,2,1,227.0,344.0,-0.61,73.74,10.12
088.png,2,1,423.0,398.0,0.73,67.4,12.53
089.png,2,1,421.0,213.0,0.39,72.22,10.46
090.png,2,1,360.0,281.0,0.34,46.03,14.32
091.png,2,1,122.0,85.0,-0.42,27.02,10.37
092.png,2,1,327.0,129.0,-0.48,100.07,52.25
093.png,2,1,292.0,224.0,-0.71,63.09,14.16
094.png,2,1,235.0,266.0,0.5,24.81,11.93
095.png,2,1,410.0,297.0,-0.46,64.44,9.27
096.png,2,1,213.0,384.0,0.33,67.47,8.63
097.png,2,1,270.0,248.0,-0.27,68.77,10.19
098.png,2,1,288.0,386.0,0.52,37.52,18.28
099.png,2,1,168.0,282.0,0.39,72.52,12.64
100.png,2,1,149.0,250.0,-0.61,31.5,14.38
101.png,2,1,323.0,202.0,-0.77,80.9,38.99
102.png,2,1,168.0,90.0,0.16,51.72,9.56
103.png,2,1,298.0,325.0,0.26,85.11,25.69
104.png,2,1,382.0,432.0,-0.63,26.7,9.44
105.png,2,1,289.0,359.0,-0.66,67.98,15.54
106.png,2,1,186.0,416.0,-0.74,69.28,30.24
107.png,2,1,266.0,251.0,-0.43,57.34,10.3
108.png,2,1,108.0,249.0,0.52,83.49,8.73
109.png,2,1,377.0,290.0,-0.65,29.38,9.56
110.png,2,1,164.0,133.0,0.18,23.92,11.09
111.png,2,1,126.0,287.0,-0.59,59.24,13.26
112.png,2,1,103.0,383.0,-0.63,31.81,15.15
113.png,2,1,378.0,224.0,-0.19,53.33,13.83
114.png,2,1,284.0,252.0,-0.62,69.98,12.92
115.png,2,1,385.0,394.0,-0.69,70.06,20.94
116.png,2,1,243.0,226.0,-0.06,70.17,9.9
117.png,2,1,257.0,153.0,-0.21,23.06,8.79
118.png,2,1,203.0,421.0,-0.79,55.56,10.28
119.png,2,1,334.0,193.0,0.55,77.22,11.94
120.png,2,1,132.0,129.0,0.57,28.26,11.95
121.png,2,1,393.0,85.0,-0.49,74.84,10.58
122.png,2,1,338.0,206.0,-0.52,23.18,10.39
123.png,2,1,115.0,217.0,-0.7,78.66,50.5
124.png,2,1,246.0,433.0,-0.35,30.88,13.24
125.png,2,1,211.0,213.0,-0.48,23.71,13.36
126.png,2,1,347.0,431.0,0.36,56.89,14.72
127.png,2,1,372.0,273.0,-0.36,30.22,11.87
128.png,2,1,286.0,140.0,-0.59,23.99,11.39
129.png,2,1,165.0,350.0,-0.19,50.39,12.46
130.png,2,1,280.0,163.0,-0.64,66.33,9.81
131.png,2,1,160.0,310.0,-0.7,50.01,7.96
132.png,2,1,279.0,151.0,0.36,79.36,9.96
133.png,2,1,425.0,186.0,0.38,73.63,18.19
134.png,2,1,396.0,244.0,0.35,80.42,33.72
135.png,2,1,95.0,254.0,0.79,33.22,8.8
136.png,2,1,239.0,209.0,-0.21,48.73,20.39
137.png,2,1,402.0,135.0,0.75,32.93,17.46
138.png,2,1,210.0,254.0,-0.09,86.09,10.73
139.png,2,1,142.0,159.0,-0.25,45.81,9.83
140.png,2,1,184.0,290.0,0.6,103.82,12.98
141.png,2,1,408.0,238.0,0.7,57.75,10.06
142.png,2,1,110.0,400.0,-0.66,65.8,28.38
143.png,2,1,137.0,230.0,-0.25,26.73,13.34
144.png,2,1,368.0,421.0,0.23,54.45,32.39
145.png,2,1,182.0,275.0,-0.33,76.48,10.68
146.png,2,1,169.0,261.0,-0.69,55.28,10.2
147.png,2,1,272.0,374.0,0.49,85.62,24.57
148.png,2,1,366.0,354.0,-0.39,30.23,16.38
149.png,2,1,244.0,145.0,-0.54,50.88,19.48
150.png,2,1,185.0,418.0,-0.62,31.5,14.1
