filename,class,label,x,y,angle,w,h
001.png,3,1,203.23,317.86,1.87,39.34,28.66
002.png,3,1,313.81,323.39,-0.18,31.67,19.33
003.png,3,1,448.22,159.17,0.15,29.37,14.17
004.png,3,1,262.46,252.26,-0.65,49.97,27.72
005.png,3,1,443.53,133.43,-0.39,60.63,35.21
006.png,3,1,316.5,225.65,0.5,52.07,18.37
007.png,3,1,435.17,374.72,-1.78,48.21,23.29
008.png,3,1,211.5,85.8,0.64,80.29,21.42
009.png,3,1,61.57,71.15,-0.4,34.37,19.33
010.png,3,1,117.27,301.26,0.31,72.49,20.04
011.png,3,1,109.08,74.11,-0.06,62.32,30.53
012.png,3,1,470.03,441.38,0.56,51.64,22.03
013.png,3,1,395.77,35.41,-0.16,65.92,27.77
014.png,3,1,439.22,255.28,0.24,33.04,19.89
015.png,3,1,380.47,377.64,0.03,45.85,15.89
016.png,3,1,458.01,400.99,0.16,37.76,19.31
017.png,3,1,102.61,435.53,-0.12,39.46,25.62
018.png,3,1,209.92,285.48,0.89,46.1,20.02
019.png,3,1,394.07,385.52,-1.7,69.16,29.71
020.png,3,1,367.87,373.15,-1.78,38.08,20.47
021.png,3,1,316.36,309.87,-0.01,92.84,24.62
022.png,3,1,466.66,109.34,0.26,34.63,15.33
023.png,3,1,103.66,463.18,1.45,29.65,20.1
024.png,3,1,186.42,119.13,-0.4,20.79,20.03
025.png,3,1,410.92,343.81,2.09,31.07,22.83
026.png,3,1,405.85,157.8,-0.04,34.75,21.87
027.png,3,1,394.01,38.07,-0.24,34.26,17.86
028.png,3,1,465.06,259.15,0.92,56.86,32.21
029.png,3,1,358.44,134.47,0.54,55.45,16.95
030.png,3,1,262.96,346.64,0.4,62.62,34.71
031.png,3,1,247.25,99.17,-0.18,54.27,13.24
032.png,3,1,395.22,440.3,1.22,52.52,25.93
033.png,3,1,212.04,249.97,0.45,33.1,14.94
034.png,3,1,466.42,178.62,-1.53,44.99,34.58
035.png,3,1,363.07,466.2,0.36,102.62,39.13
036.png,3,1,212.79,279.48,0.0,67.87,21.59
037.png,3,1,243.85,268.39,-0.58,42.66,18.54
038.png,3,1,102.36,154.91,-0.64,28.33,20.01
039.png,3,1,275.86,62.25,2.11,21.61,19.04
040.png,3,1,455.1,362.54,-1.46,39.62,31.88
041.png,3,1,322.09,473.22,-0.54,43.17,26.34
042.png,3,1,134.85,140.04,0.61,33.43,19.31
043.png,3,1,243.68,271.93,0.17,40.78,24.28
044.png,3,1,238.45,388.39,-0.41,50.26,31.68
045.png,3,1,173.17,128.66,-0.15,39.42,14.42
046.png,3,1,396.57,257.83,0.62,49.2,36.8
047.png,3,1,139.5,299.5,-0.01,66.5,37.39
048.png,3,1,225.83,321.86,-0.14,71.75,22.94
049.png,3,1,304.99,384.43,0.69,31.77,26.41
050.png,3,1,391.53,372.22,-0.24,55.54,24.97
051.png,3,1,76.09,168.28,0.26,34.09,21.9
052.png,3,1,394.04,149.95,1.01,40.02,19.83
053.png,3,1,285.51,321.28,-0.1,31.31,20.81
054.png,3,1,335.27,435.94,1.01,45.48,20.24
055.png,3,1,217.73,85.15,-0.7,58.21,32.2
056.png,3,1,251.43,95.36,0.17,56.95,15.3
057.png,3,1,231.55,306.03,0.15,33.41,11.75
058.png,3,1,208.05,162.69,-0.05,29.99,13.87
059.png,3,1,253.08,294.08,-0.09,31.77,15.41
060.png,3,1,153.38,136.38,-0.54,22.15,17.93
061.png,3,1,100.84,214.88,-0.25,47.09,21.47
062.png,3,1,327.33,60.91,-0.21,26.02,22.0
063.png,3,1,249.95,379.41,0.82,33.49,16.1
064.png,3,1,331.29,425.52,0.04,38.46,23.27
065.png,3,1,154.27,280.17,1.43,37.04,24.28
066.png,3,1,129.1,176.84,1.55,34.88,19.87
067.png,3,1,264.39,53.85,1.12,50.64,30.61
068.png,3,1,265.06,374.32,0.36,62.06,16.52
069.png,3,1,185.97,102.71,0.49,37.05,10.72
070.png,3,1,309.42,126.62,1.14,27.25,18.47
