filename,class,label,x,y,angle,w,h
000.png,1,1,60.24,37.55,0.65,69.04,87.6
001.png,1,1,41.34,35.83,0.37,315.4,172.29
002.png,1,1,53.98,40.3,1.53,110.97,170.01
003.png,1,1,63.41,53.7,1.5,253.14,65.83
004.png,1,1,71.81,42.12,0.62,151.85,312.05
005.png,1,1,66.19,64.12,1.29,143.03,352.48
006.png,1,1,47.17,50.18,0.2,54.54,255.97
007.png,1,1,36.36,40.48,0.35,42.06,244.56
008.png,1,1,63.1,37.97,-1.0,119.86,100.36
009.png,1,1,56.8,37.49,-0.04,61.46,339.66
010.png,1,1,66.0,45.08,0.62,71.5,69.96
011.png,1,1,68.91,67.24,2.41,304.37,91.09
012.png,1,1,72.1,82.92,0.43,62.86,309.99
013.png,1,1,51.99,31.63,0.66,177.53,127.98
014.png,1,1,40.41,36.32,0.2,87.91,204.41
015.png,1,1,83.71,94.96,-0.2,156.56,226.52
016.png,1,1,56.22,41.54,1.51,91.71,92.24
017.png,1,1,78.04,82.53,-0.81,115.38,177.33
018.png,1,1,65.82,28.7,-0.74,88.24,158.84
019.png,1,1,50.15,58.3,-1.7,47.76,60.01
020.png,1,1,41.31,30.48,-0.57,74.38,351.65
021.png,1,1,86.5,89.55,-1.39,128.53,338.77
022.png,1,1,80.56,46.61,-0.18,77.91,49.65
023.png,1,1,82.93,55.43,2.4,80.3,279.83
024.png,1,1,34.63,39.1,-2.04,66.34,220.2
025.png,1,1,79.17,42.92,-1.23,195.89,251.02
026.png,1,1,70.73,32.35,1.44,135.64,357.63
027.png,1,1,70.66,76.58,-0.3,98.9,52.13
028.png,1,1,58.19,34.19,0.07,161.2,366.49
029.png,1,1,48.18,41.46,0.27,207.53,69.54
030.png,1,1,43.64,33.42,0.71,35.2,141.96
031.png,1,1,45.24,35.34,-0.6,165.79,135.2
032.png,1,1,77.76,48.14,1.46,329.91,104.82
033.png,1,1,80.16,61.13,-1.27,92.04,198.82
034.png,1,1,65.67,49.78,-1.03,47.53,248.78
035.png,1,1,95.57,73.68,-2.37,104.61,354.84
036.png,1,1,43.89,44.06,-1.75,123.31,195.19
037.png,1,1,95.89,66.64,1.31,262.64,145.82
038.png,1,1,61.02,37.72,-0.44,85.67,384.08
039.png,1,1,67.3,74.11,1.1,57.19,179.2
040.png,1,1,52.36,45.7,0.57,161.22,253.94
041.png,1,1,39.22,42.06,0.36,37.32,290.34
042.png,1,1,39.7,31.73,-0.61,92.76,291.3
043.png,1,1,49.3,52.64,1.09,371.49,283.37
044.png,1,1,65.13,59.49,-0.4,91.61,136.26
045.png,1,1,77.63,32.47,-1.33,90.61,282.94
046.png,1,1,51.24,39.01,1.98,137.8,249.67
047.png,1,1,59.07,34.74,-1.53,84.58,199.78
048.png,1,1,68.31,69.58,-0.08,87.14,170.6
